id,user_id,product_id,rating,comment,created_at
1,1,1,5,反応速度が抜群で握り心地も最高です。長時間のプレイでも疲れません。,2023-02-09 12:34:02
2,2,2,4,コンパクトでデスクが広く使えます。キーの印字も見やすい。,2023-02-20 15:50:17
3,1,4,5,ノイズキャンセリングが強力で通勤時の集中に役立っています。音質もクリア！,2023-02-25 05:30:40
4,2,4,3,音質は良いのですがイヤーピースのフィット感が少し合わず付け替えました。,2023-03-02 09:09:57
5,1,5,2,屋外の広い場所だとややパワー不足を感じました。,2023-03-05 13:45:32
6,3,4,5,ノイズキャンセリングが強力で通勤時の集中に役立っています。音質もクリア！,2023-03-16 07:02:35
7,2,6,5,肌触りが最高で厚みもちょうど良く、一枚で様になります。,2023-03-19 14:19:53
8,1,7,5,ストレッチが効いていて動きやすく、ビジネスカジュアルにも最適。,2023-03-25 15:05:47
9,4,4,3,ノイキャン特有の圧迫感が少し気になりますが慣れれば大丈夫です。,2023-03-28 06:41:45
10,4,3,4,画質は非常に綺麗で満足。スタンドの奥行きがそこそこあるのでアーム推奨です。,2023-04-01 06:41:45
11,2,7,5,シルエットが綺麗で履き心地もよくリピート確定です！,2023-04-02 15:38:49
12,2,8,1,ファスナーが引っかかってスムーズに上がりませんでした。,2023-04-03 17:38:49
13,1,8,2,丈が身長に対して長すぎて階段で踏みそうになります。,2023-04-04 16:16:34
14,3,1,4,クリック感が軽快で良い。ホイールの回し心地も適度な重さがあります。,2023-04-06 05:24:25
15,3,7,4,型崩れしにくく毎日の通勤で重宝しています。,2023-04-09 15:40:27
16,2,9,3,サイズはちょうど良いですが、少し毛抜けがあります。,2023-04-12 17:38:29
17,4,7,5,シルエットが綺麗で履き心地もよくリピート確定です！,2023-04-14 07:47:08
18,1,9,4,首回りの開き具合が絶妙でインナーが見えません。,2023-04-14 13:02:54
19,3,3,5,ゲームも映画鑑賞も迫力満点で最高峰のディスプレイです。視野角も広い。,2023-04-20 20:34:05
20,1,6,4,首元が伸びにくく着心地抜群。カラーバリエーションを増やしてほしい。,2023-04-20 20:38:31
21,5,8,4,春夏にぴったりの軽やかさで上品なデザインです。,2023-04-20 23:59:32
22,4,9,5,カシミヤ混で肌触りがチクチクせずとても暖かいです。,2023-04-26 19:00:28
23,3,10,4,焙煎度がちょうどよく、ハンドドリップで淹れると豆がしっかり膨らみます。,2023-04-26 22:21:55
24,5,3,4,ドット抜けもなく発色も自然で気に入っています。,2023-04-28 16:59:32
25,6,4,4,遮音性が高く音楽に没頭できます。ケースもコンパクト。,2023-05-08 05:55:41
26,6,1,5,RGBライティングが美しく、センサーの精度も文句なしの逸品です。,2023-05-18 03:41:26
27,7,5,3,音量は十分ですが、高音域が少しこもる印象を受けます。,2023-05-24 00:16:50
28,5,6,5,普段着としてガシガシ洗濯してもよれない丈夫さです。リピ買い確定！,2023-05-24 12:15:55
29,1,13,4,具体的なデータセットを使った実践例が多くて理解しやすい。,2023-05-24 16:45:32
30,6,7,5,ストレッチが効いていて動きやすく、ビジネスカジュアルにも最適。,2023-05-30 06:36:50
31,7,7,4,型崩れしにくく毎日の通勤で重宝しています。,2023-06-03 09:06:22
32,1,11,5,青々しいフレッシュな風味が格別でリピートしています。,2023-06-04 09:20:52
33,6,9,5,カシミヤ混で肌触りがチクチクせずとても暖かいです。,2023-06-10 11:04:58
34,8,6,4,首元が伸びにくく着心地抜群。カラーバリエーションを増やしてほしい。,2023-06-16 19:03:30
35,2,10,5,朝の一杯に欠かせないお気に入りの豆になりました。リピートしています！,2023-06-25 18:18:44
