id,order_id,product_id,quantity,unit_price
1,1,1,1,5980
2,1,3,1,49800
3,2,1,1,5980
4,2,3,1,49800
5,3,3,1,49800
6,3,2,1,12800
7,3,1,1,5980
8,4,3,2,49800
9,4,1,2,5980
10,5,3,1,49800
11,6,1,1,5980
12,7,1,1,5980
13,8,3,1,49800
14,9,1,1,5980
15,9,2,1,12800
16,9,3,1,49800
17,10,1,1,5980
18,11,3,1,49800
19,12,2,1,12800
20,13,1,1,5980
21,14,1,1,5980
22,14,2,1,12800
23,14,3,1,49800
24,15,4,1,18500
25,15,1,1,5980
26,16,1,1,5980
27,16,4,1,18500
28,17,1,1,5980
29,18,1,1,5980
30,18,4,1,18500
31,19,4,1,18500
32,19,2,1,12800
33,19,5,1,7980
34,20,2,1,12800
35,20,4,1,18500
36,21,1,2,5980
37,22,4,1,18500
38,23,5,1,7980
39,24,1,1,5980
40,25,4,1,18500
41,26,4,1,18500
42,27,1,1,5980
43,27,2,1,12800
44,28,4,1,18500
45,29,4,1,18500
46,30,5,3,7980
47,31,2,1,12800
48,32,2,1,12800
49,33,5,2,7980
50,33,4,1,18500
51,34,3,1,49800
52,35,4,1,18500
53,35,5,1,7980
54,35,1,1,5980
55,36,6,1,3980
56,37,6,1,3980
57,37,1,1,5980
58,38,1,1,5980
59,39,3,1,49800
60,40,4,1,18500
61,41,7,1,6480
62,42,1,1,5980
63,43,5,1,7980
64,43,2,3,12800
65,44,1,1,5980
66,45,4,1,18500
67,46,6,1,3980
68,47,6,1,3980
69,48,7,1,6480
70,48,8,1,5980
71,49,1,2,5980
72,49,3,1,49800
73,49,8,1,5980
74,50,6,1,3980
75,51,4,1,18500
76,51,2,3,12800
77,52,1,1,5980
78,52,7,1,6480
79,52,4,1,18500
80,53,6,1,3980
81,54,1,1,5980
82,55,4,1,18500
83,55,8,3,5980
84,55,6,2,3980
85,55,3,1,49800
86,56,4,2,18500
87,56,1,1,5980
88,57,7,1,6480
89,58,6,1,3980
90,58,3,1,49800
91,58,4,1,18500
92,59,4,1,18500
93,59,6,2,3980
94,59,2,2,12800
95,60,7,1,6480
96,61,1,1,5980
97,61,6,1,3980
98,62,1,2,5980
99,63,7,1,6480
100,64,6,1,3980
101,65,7,1,6480
102,66,7,1,6480
103,67,4,1,18500
104,67,5,1,7980
105,67,2,1,12800
106,67,1,1,5980
107,68,3,1,49800
108,68,8,1,5980
109,69,9,2,9800
110,69,6,1,3980
111,69,7,1,6480
112,69,1,1,5980
113,70,7,1,6480
114,71,7,1,6480
115,71,9,1,9800
116,72,8,1,5980
117,73,6,3,3980
118,73,4,1,18500
119,74,9,1,9800
120,74,8,1,5980
121,75,4,2,18500
122,76,8,1,5980
123,77,10,2,2480
124,78,5,1,7980
125,78,7,1,6480
126,79,9,1,9800
127,80,7,1,6480
128,80,8,1,5980
129,81,5,1,7980
130,82,2,1,12800
131,83,1,1,5980
132,83,3,1,49800
133,84,5,1,7980
134,85,4,2,18500
135,86,4,1,18500
136,86,6,1,3980
137,87,1,1,5980
138,88,5,1,7980
139,89,6,1,3980
140,90,3,1,49800
141,91,3,1,49800
142,92,6,1,3980
143,92,8,1,5980
144,93,3,1,49800
145,93,1,1,5980
146,94,11,1,1980
147,95,12,1,3080
148,96,7,1,6480
149,97,5,1,7980
150,98,11,1,1980
151,99,10,1,2480
152,100,9,1,9800
153,101,2,1,12800
154,101,9,1,9800
155,102,13,1,3520
156,103,11,1,1980
157,104,11,1,1980
158,105,7,1,6480
159,106,4,2,18500
160,106,6,1,3980
161,107,5,1,7980
162,108,7,1,6480
163,109,5,1,7980
164,109,12,1,3080
165,110,6,1,3980
166,111,12,1,3080
167,111,9,1,9800
168,111,11,1,1980
169,112,1,2,5980
170,112,5,1,7980
171,112,4,1,18500
172,113,7,2,6480
173,113,2,1,12800
174,114,7,1,6480
175,115,1,2,5980
176,116,6,1,3980
177,116,11,1,1980
178,117,12,3,3080
179,117,10,1,2480
180,118,12,2,3080
181,119,10,1,2480
182,120,7,1,6480
183,120,6,2,3980
184,121,12,1,3080
185,122,2,1,12800
186,123,12,1,3080
187,124,2,1,12800
188,124,10,1,2480
189,124,6,2,3980
190,125,10,1,2480
191,126,4,1,18500
192,127,7,1,6480
193,128,9,1,9800
194,128,3,2,49800
195,128,13,1,3520
196,129,13,1,3520
197,129,11,1,1980
198,129,15,1,3800
199,130,7,1,6480
200,131,8,1,5980
201,131,7,1,6480
202,132,12,2,3080
203,132,10,1,2480
204,132,4,2,18500
205,133,6,2,3980
206,133,15,1,3800
207,134,10,1,2480
208,134,9,1,9800
209,135,1,1,5980
210,136,14,1,4600
211,137,6,1,3980
212,137,2,1,12800
213,138,15,1,3800
214,139,6,1,3980
215,140,4,1,18500
216,140,7,1,6480
217,140,11,1,1980
218,141,9,1,9800
219,142,9,1,9800
220,142,10,1,2480
221,143,10,1,2480
222,144,16,1,6200
223,145,4,1,18500
224,146,4,2,18500
225,147,10,1,2480
226,148,16,1,6200
227,148,10,1,2480
228,149,10,1,2480
229,149,4,1,18500
230,150,4,1,18500
231,150,9,1,9800
232,151,10,3,2480
233,152,7,1,6480
234,153,6,1,3980
235,153,7,1,6480
236,153,16,1,6200
237,153,15,1,3800
238,154,11,1,1980
239,155,6,1,3980
240,155,7,1,6480
241,156,10,1,2480
242,157,10,1,2480
243,157,12,1,3080
244,158,4,1,18500
245,158,12,1,3080
246,158,15,1,3800
247,158,9,1,9800
248,159,15,1,3800
249,160,16,1,6200
250,160,15,1,3800
251,160,13,1,3520
252,161,4,1,18500
253,161,10,1,2480
254,161,6,1,3980
255,162,13,1,3520
256,163,2,3,12800
257,164,16,1,6200
258,164,6,1,3980
259,165,12,2,3080
260,166,11,1,1980
261,167,16,1,6200
262,167,12,1,3080
263,168,7,2,6480
264,169,12,1,3080
265,170,9,1,9800
266,171,5,1,7980
267,172,18,1,1800
268,173,9,1,9800
269,173,18,2,1800
270,174,4,1,18500
271,174,18,3,1800
272,174,8,1,5980
273,175,8,1,5980
274,176,11,2,1980
275,176,18,1,1800
276,177,9,1,9800
277,178,11,1,1980
278,178,10,1,2480
279,178,15,2,3800
280,179,16,1,6200
281,179,17,1,15800
282,179,11,3,1980
283,180,7,1,6480
284,181,11,1,1980
285,181,18,1,1800
286,181,10,1,2480
287,182,1,1,5980
288,182,9,1,9800
289,183,5,1,7980
290,183,6,1,3980
291,183,14,2,4600
292,184,8,1,5980
293,184,11,1,1980
294,185,5,1,7980
295,186,9,1,9800
296,187,7,1,6480
297,187,15,1,3800
298,187,10,1,2480
299,188,11,1,1980
300,188,13,1,3520
301,188,2,2,12800
302,189,1,1,5980
303,189,11,1,1980
304,190,9,1,9800
305,191,16,1,6200
306,191,18,1,1800
307,192,8,1,5980
308,193,12,1,3080
309,193,17,1,15800
310,194,16,1,6200
311,195,6,1,3980
312,195,18,1,1800
313,195,13,2,3520
314,196,1,1,5980
315,196,6,1,3980
316,196,5,2,7980
317,197,9,1,9800
318,198,17,1,15800
319,199,20,1,5400
320,200,12,1,3080
321,201,4,1,18500
322,201,10,1,2480
323,202,10,1,2480
324,203,16,2,6200
325,204,12,1,3080
326,204,4,1,18500
327,204,9,1,9800
328,204,5,1,7980
329,205,10,1,2480
330,205,13,1,3520
331,206,16,1,6200
332,207,9,1,9800
333,208,16,1,6200
334,209,19,1,2980
335,210,17,1,15800
336,211,16,3,6200
337,211,2,1,12800
338,212,20,1,5400
339,213,8,1,5980
340,213,13,3,3520
341,214,6,1,3980
342,215,16,1,6200
343,216,3,1,49800
344,216,17,1,15800
345,216,14,1,4600
346,217,16,1,6200
347,218,11,1,1980
348,218,12,1,3080
349,219,1,1,5980
350,220,16,1,6200
351,220,11,1,1980
352,221,12,1,3080
353,221,13,1,3520
354,222,13,1,3520
355,223,10,1,2480
356,224,19,1,2980
357,224,5,1,7980
358,224,4,1,18500
359,225,20,1,5400
360,225,10,1,2480
361,226,6,1,3980
362,226,1,1,5980
363,227,4,1,18500
364,228,6,1,3980
365,229,16,1,6200
366,230,12,1,3080
367,230,9,1,9800
368,230,13,1,3520
369,231,7,2,6480
370,231,6,3,3980
371,232,18,1,1800
372,232,4,1,18500
373,232,16,1,6200
374,232,6,1,3980
375,233,16,1,6200
376,234,12,2,3080
377,235,9,1,9800
378,235,20,1,5400
379,236,8,1,5980
380,237,10,1,2480
381,237,1,1,5980
382,237,20,1,5400
383,238,3,1,49800
384,239,3,1,49800
385,240,20,1,5400
386,240,10,1,2480
387,241,9,1,9800
388,242,13,1,3520
389,243,6,2,3980
390,244,7,1,6480
391,245,7,1,6480
392,245,11,1,1980
393,246,11,1,1980
394,247,18,1,1800
395,248,6,1,3980
396,249,9,1,9800
397,250,16,1,6200
398,251,19,1,2980
399,252,15,1,3800
400,252,4,1,18500
401,253,16,1,6200
402,254,14,1,4600
403,255,16,2,6200
404,256,6,1,3980
405,256,11,2,1980
406,256,9,2,9800
407,257,18,1,1800
408,258,20,1,5400
409,258,19,1,2980
410,259,7,1,6480
411,260,15,1,3800
412,260,11,1,1980
413,261,19,1,2980
414,261,1,1,5980
415,261,13,1,3520
416,262,7,1,6480
417,263,13,1,3520
418,264,7,1,6480
419,265,4,1,18500
420,265,16,1,6200
421,265,3,1,49800
422,266,3,1,49800
423,266,16,1,6200
424,266,7,1,6480
425,267,7,1,6480
426,268,16,1,6200
427,269,3,1,49800
428,269,12,3,3080
429,269,19,1,2980
430,270,2,1,12800
431,270,19,1,2980
432,270,10,1,2480
433,271,1,1,5980
434,271,13,1,3520
435,271,6,1,3980
436,272,12,1,3080
437,273,10,2,2480
438,274,16,1,6200
439,275,4,2,18500
440,275,13,1,3520
441,275,7,3,6480
442,275,17,1,15800
443,276,16,1,6200
444,277,5,3,7980
445,278,12,1,3080
446,279,16,2,6200
447,280,19,1,2980
448,280,8,1,5980
449,280,18,1,1800
450,281,5,1,7980
451,281,20,2,5400
452,282,7,1,6480
453,282,5,1,7980
454,283,16,1,6200
455,284,20,1,5400
456,285,1,1,5980
457,286,10,1,2480
458,287,18,1,1800
459,288,19,1,2980
460,289,18,1,1800
461,289,13,1,3520
462,289,9,1,9800
463,289,12,1,3080
464,290,6,1,3980
465,291,16,1,6200
466,292,17,1,15800
467,293,8,1,5980
468,294,4,1,18500
469,295,9,1,9800
470,296,2,2,12800
471,297,4,1,18500
472,297,16,3,6200
473,298,6,1,3980
474,298,17,1,15800
475,299,7,1,6480
476,300,4,1,18500
477,301,7,1,6480
478,302,5,1,7980
479,303,6,1,3980
480,304,18,3,1800
481,304,13,1,3520
482,305,13,1,3520
483,306,4,1,18500
484,307,5,1,7980
485,307,2,1,12800
486,307,1,1,5980
487,308,10,1,2480
488,309,15,1,3800
489,309,13,1,3520
490,309,6,1,3980
491,310,1,1,5980
492,311,6,2,3980
493,311,13,1,3520
494,312,7,1,6480
495,313,7,1,6480
496,314,14,2,4600
497,315,12,1,3080
498,315,14,1,4600
499,316,1,1,5980
500,317,10,1,2480
501,317,19,1,2980
502,318,18,2,1800
503,319,16,1,6200
504,320,19,1,2980
505,321,18,1,1800
506,322,5,3,7980
507,322,2,1,12800
